"Strain","Plasmid","Replicate","Inducer","Media","Type","Plate","well","time","OD600","row","column"
"E.coli EW11","DV496",1,"4-HT","M9sa","Dynamic",1,"E7",0,0.0459,"E",7
"E.coli EW11","DV496",2,"4-HT","M9sa","Dynamic",1,"E8",0,0.0474,"E",8
"E.coli EW11","DV496",3,"4-HT","M9sa","Dynamic",1,"E9",0,0.045,"E",9
"E.coli EW11","DV496",4,"4-HT","M9sa","Dynamic",1,"E10",0,0.0455,"E",10
"E.coli EW11","DV496",5,"4-HT","M9sa","Dynamic",1,"E11",0,0.046,"E",11
"E.coli EW11","DV496",6,"4-HT","M9sa","Dynamic",1,"E12",0,0.0463,"E",12
"E.coli EW11","DV543",1,"DMSO","M9sa","Distal",1,"F1",0,0.0511,"F",1
"E.coli EW11","DV543",2,"DMSO","M9sa","Distal",1,"F2",0,0.0541,"F",2
"E.coli EW11","DV543",3,"DMSO","M9sa","Distal",1,"F3",0,0.0526,"F",3
"E.coli EW11","DV543",4,"DMSO","M9sa","Distal",1,"F4",0,0.0556,"F",4
"E.coli EW11","DV543",5,"DMSO","M9sa","Distal",1,"F5",0,0.0492,"F",5
"E.coli EW11","DV543",6,"DMSO","M9sa","Distal",1,"F6",0,0.0552,"F",6
"E.coli EW11","DV543",1,"4-HT","M9sa","Distal",1,"F7",0,0.047,"F",7
"E.coli EW11","DV543",2,"4-HT","M9sa","Distal",1,"F8",0,0.0471,"F",8
"E.coli EW11","DV543",3,"4-HT","M9sa","Distal",1,"F9",0,0.0465,"F",9
"E.coli EW11","DV543",4,"4-HT","M9sa","Distal",1,"F10",0,0.05,"F",10
"E.coli EW11","DV543",5,"4-HT","M9sa","Distal",1,"F11",0,0.0477,"F",11
"E.coli EW11","DV543",6,"4-HT","M9sa","Distal",1,"F12",0,0.0481,"F",12
"E.coli EW11","DV565",1,"DMSO","M9sa","Distal",1,"G1",0,0.0518,"G",1
"E.coli EW11","DV565",2,"DMSO","M9sa","Distal",1,"G2",0,0.0497,"G",2
"E.coli EW11","DV565",3,"DMSO","M9sa","Distal",1,"G3",0,0.0492,"G",3
"E.coli EW11","DV565",4,"DMSO","M9sa","Distal",1,"G4",0,0.0635,"G",4
"E.coli EW11","DV565",5,"DMSO","M9sa","Distal",1,"G5",0,0.0543,"G",5
"E.coli EW11","DV565",6,"DMSO","M9sa","Distal",1,"G6",0,0.0513,"G",6
"E.coli EW11","DV565",1,"4-HT","M9sa","Distal",1,"G7",0,0.0466,"G",7
"E.coli EW11","DV565",2,"4-HT","M9sa","Distal",1,"G8",0,0.0459,"G",8
"E.coli EW11","DV565",3,"4-HT","M9sa","Distal",1,"G9",0,0.0484,"G",9
"E.coli EW11","DV565",4,"4-HT","M9sa","Distal",1,"G10",0,0.0472,"G",10
"E.coli EW11","DV565",5,"4-HT","M9sa","Distal",1,"G11",0,0.0467,"G",11
"E.coli EW11","DV565",6,"4-HT","M9sa","Distal",1,"G12",0,0.0527,"G",12
"E.coli EW11","pLW003",1,"DMSO","M9sa","NegCtrl",1,"H1",0,0.0492,"H",1
"E.coli EW11","pLW003",2,"DMSO","M9sa","NegCtrl",1,"H2",0,0.0521,"H",2
"E.coli EW11","pLW003",3,"DMSO","M9sa","NegCtrl",1,"H3",0,0.0603,"H",3
"E.coli EW11","pLW003",4,"DMSO","M9sa","NegCtrl",1,"H4",0,0.0553,"H",4
"E.coli EW11","pLW003",5,"DMSO","M9sa","NegCtrl",1,"H5",0,0.055,"H",5
"E.coli EW11","pLW003",6,"DMSO","M9sa","NegCtrl",1,"H6",0,0.0507,"H",6
"E.coli EW11","pLW003",1,"4-HT","M9sa","NegCtrl",1,"H7",0,0.0489,"H",7
"E.coli EW11","pLW003",2,"4-HT","M9sa","NegCtrl",1,"H8",0,0.0466,"H",8
"E.coli EW11","pLW003",3,"4-HT","M9sa","NegCtrl",1,"H9",0,0.0456,"H",9
"E.coli EW11","pLW003",4,"4-HT","M9sa","NegCtrl",1,"H10",0,0.0477,"H",10
"E.coli EW11","pLW003",5,"4-HT","M9sa","NegCtrl",1,"H11",0,0.047,"H",11
"E.coli EW11","pLW003",6,"4-HT","M9sa","NegCtrl",1,"H12",0,0.0691,"H",12
"E.coli EW11","pLW002",1,"DMSO","M9sa","PosCtrl",1,"A1",622.984,0.0636,"A",1
"E.coli EW11","pLW002",2,"DMSO","M9sa","PosCtrl",1,"A2",622.984,0.0475,"A",2
"E.coli EW11","pLW002",3,"DMSO","M9sa","PosCtrl",1,"A3",622.984,0.0508,"A",3
"E.coli EW11","pLW002",4,"DMSO","M9sa","PosCtrl",1,"A4",622.984,0.0464,"A",4
"E.coli EW11","pLW002",5,"DMSO","M9sa","PosCtrl",1,"A5",622.984,0.0476,"A",5
"E.coli EW11","pLW002",6,"DMSO","M9sa","PosCtrl",1,"A6",622.984,0.0479,"A",6
"E.coli EW11","pLW002",1,"4-HT","M9sa","PosCtrl",1,"A7",622.984,0.0494,"A",7
"E.coli EW11","pLW002",2,"4-HT","M9sa","PosCtrl",1,"A8",622.984,0.0468,"A",8
"E.coli EW11","pLW002",3,"4-HT","M9sa","PosCtrl",1,"A9",622.984,0.0649,"A",9
"E.coli EW11","pLW002",4,"4-HT","M9sa","PosCtrl",1,"A10",622.984,0.0493,"A",10
"E.coli EW11","pLW002",5,"4-HT","M9sa","PosCtrl",1,"A11",622.984,0.0486,"A",11
"E.coli EW11","pLW002",6,"4-HT","M9sa","PosCtrl",1,"A12",622.984,0.0472,"A",12
"E.coli EW11","DV41",1,"DMSO","M9sa","Structural",1,"B1",622.984,0.0475,"B",1
"E.coli EW11","DV41",2,"DMSO","M9sa","Structural",1,"B2",622.984,0.0517,"B",2
"E.coli EW11","DV41",3,"DMSO","M9sa","Structural",1,"B3",622.984,0.0548,"B",3
"E.coli EW11","DV41",4,"DMSO","M9sa","Structural",1,"B4",622.984,0.0481,"B",4
"E.coli EW11","DV41",5,"DMSO","M9sa","Structural",1,"B5",622.984,0.0488,"B",5
"E.coli EW11","DV41",6,"DMSO","M9sa","Structural",1,"B6",622.984,0.046,"B",6
"E.coli EW11","DV41",1,"4-HT","M9sa","Structural",1,"B7",622.984,0.0475,"B",7
"E.coli EW11","DV41",2,"4-HT","M9sa","Structural",1,"B8",622.984,0.0482,"B",8
"E.coli EW11","DV41",3,"4-HT","M9sa","Structural",1,"B9",622.984,0.0478,"B",9
"E.coli EW11","DV41",4,"4-HT","M9sa","Structural",1,"B10",622.984,0.0497,"B",10
"E.coli EW11","DV41",5,"4-HT","M9sa","Structural",1,"B11",622.984,0.0478,"B",11
"E.coli EW11","DV41",6,"4-HT","M9sa","Structural",1,"B12",622.984,0.0491,"B",12
"E.coli EW11","DV130",1,"DMSO","M9sa","Structural",1,"C1",622.984,0.049,"C",1
"E.coli EW11","DV130",2,"DMSO","M9sa","Structural",1,"C2",622.984,0.054,"C",2
"E.coli EW11","DV130",3,"DMSO","M9sa","Structural",1,"C3",622.984,0.0534,"C",3
"E.coli EW11","DV130",4,"DMSO","M9sa","Structural",1,"C4",622.984,0.05,"C",4
"E.coli EW11","DV130",5,"DMSO","M9sa","Structural",1,"C5",622.984,0.049,"C",5
"E.coli EW11","DV130",6,"DMSO","M9sa","Structural",1,"C6",622.984,0.0465,"C",6
"E.coli EW11","DV130",1,"4-HT","M9sa","Structural",1,"C7",622.984,0.0471,"C",7
"E.coli EW11","DV130",2,"4-HT","M9sa","Structural",1,"C8",622.984,0.0479,"C",8
"E.coli EW11","DV130",3,"4-HT","M9sa","Structural",1,"C9",622.984,0.0496,"C",9
"E.coli EW11","DV130",4,"4-HT","M9sa","Structural",1,"C10",622.984,0.048,"C",10
"E.coli EW11","DV130",5,"4-HT","M9sa","Structural",1,"C11",622.984,0.0495,"C",11
"E.coli EW11","DV130",6,"4-HT","M9sa","Structural",1,"C12",622.984,0.0461,"C",12
"E.coli EW11","DV264",1,"DMSO","M9sa","Dynamic",1,"D1",622.984,0.0521,"D",1
"E.coli EW11","DV264",2,"DMSO","M9sa","Dynamic",1,"D2",622.984,0.0561,"D",2
"E.coli EW11","DV264",3,"DMSO","M9sa","Dynamic",1,"D3",622.984,0.0557,"D",3
"E.coli EW11","DV264",4,"DMSO","M9sa","Dynamic",1,"D4",622.984,0.0653,"D",4
"E.coli EW11","DV264",5,"DMSO","M9sa","Dynamic",1,"D5",622.984,0.0552,"D",5
"E.coli EW11","DV264",6,"DMSO","M9sa","Dynamic",1,"D6",622.984,0.0559,"D",6
"E.coli EW11","DV264",1,"4-HT","M9sa","Dynamic",1,"D7",622.984,0.0557,"D",7
"E.coli EW11","DV264",2,"4-HT","M9sa","Dynamic",1,"D8",622.984,0.0529,"D",8
"E.coli EW11","DV264",3,"4-HT","M9sa","Dynamic",1,"D9",622.984,0.0568,"D",9
"E.coli EW11","DV264",4,"4-HT","M9sa","Dynamic",1,"D10",622.984,0.0542,"D",10
"E.coli EW11","DV264",5,"4-HT","M9sa","Dynamic",1,"D11",622.984,0.0537,"D",11
"E.coli EW11","DV264",6,"4-HT","M9sa","Dynamic",1,"D12",622.984,0.0544,"D",12
"E.coli EW11","DV496",1,"DMSO","M9sa","Dynamic",1,"E1",622.984,0.0853,"E",1
"E.coli EW11","DV496",2,"DMSO","M9sa","Dynamic",1,"E2",622.984,0.0559,"E",2
"E.coli EW11","DV496",3,"DMSO","M9sa","Dynamic",1,"E3",622.984,0.0484,"E",3
"E.coli EW11","DV496",4,"DMSO","M9sa","Dynamic",1,"E4",622.984,0.0538,"E",4
"E.coli EW11","DV496",5,"DMSO","M9sa","Dynamic",1,"E5",622.984,0.0606,"E",5
"E.coli EW11","DV496",6,"DMSO","M9sa","Dynamic",1,"E6",622.984,0.0556,"E",6
"E.coli EW11","DV496",1,"4-HT","M9sa","Dynamic",1,"E7",622.984,0.0471,"E",7
"E.coli EW11","DV496",2,"4-HT","M9sa","Dynamic",1,"E8",622.984,0.0499,"E",8
"E.coli EW11","DV496",3,"4-HT","M9sa","Dynamic",1,"E9",622.984,0.0464,"E",9
"E.coli EW11","DV496",4,"4-HT","M9sa","Dynamic",1,"E10",622.984,0.0479,"E",10
"E.coli EW11","DV496",5,"4-HT","M9sa","Dynamic",1,"E11",622.984,0.0516,"E",11
"E.coli EW11","DV496",6,"4-HT","M9sa","Dynamic",1,"E12",622.984,0.0473,"E",12
"E.coli EW11","DV543",1,"DMSO","M9sa","Distal",1,"F1",622.984,0.0533,"F",1
"E.coli EW11","DV543",2,"DMSO","M9sa","Distal",1,"F2",622.984,0.0601,"F",2
"E.coli EW11","DV543",3,"DMSO","M9sa","Distal",1,"F3",622.984,0.0607,"F",3
"E.coli EW11","DV543",4,"DMSO","M9sa","Distal",1,"F4",622.984,0.0623,"F",4
"E.coli EW11","DV543",5,"DMSO","M9sa","Distal",1,"F5",622.984,0.0548,"F",5
"E.coli EW11","DV543",6,"DMSO","M9sa","Distal",1,"F6",622.984,0.0636,"F",6
"E.coli EW11","DV543",1,"4-HT","M9sa","Distal",1,"F7",622.984,0.0489,"F",7
"E.coli EW11","DV543",2,"4-HT","M9sa","Distal",1,"F8",622.984,0.0492,"F",8
"E.coli EW11","DV543",3,"4-HT","M9sa","Distal",1,"F9",622.984,0.0484,"F",9
"E.coli EW11","DV543",4,"4-HT","M9sa","Distal",1,"F10",622.984,0.0524,"F",10
"E.coli EW11","DV543",5,"4-HT","M9sa","Distal",1,"F11",622.984,0.0487,"F",11
"E.coli EW11","DV543",6,"4-HT","M9sa","Distal",1,"F12",622.984,0.0494,"F",12
"E.coli EW11","DV565",1,"DMSO","M9sa","Distal",1,"G1",622.984,0.0523,"G",1
"E.coli EW11","DV565",2,"DMSO","M9sa","Distal",1,"G2",622.984,0.0571,"G",2
"E.coli EW11","DV565",3,"DMSO","M9sa","Distal",1,"G3",622.984,0.0551,"G",3
"E.coli EW11","DV565",4,"DMSO","M9sa","Distal",1,"G4",622.984,0.0687,"G",4
"E.coli EW11","DV565",5,"DMSO","M9sa","Distal",1,"G5",622.984,0.0607,"G",5
"E.coli EW11","DV565",6,"DMSO","M9sa","Distal",1,"G6",622.984,0.0574,"G",6
"E.coli EW11","DV565",1,"4-HT","M9sa","Distal",1,"G7",622.984,0.0495,"G",7
"E.coli EW11","DV565",2,"4-HT","M9sa","Distal",1,"G8",622.984,0.0481,"G",8
"E.coli EW11","DV565",3,"4-HT","M9sa","Distal",1,"G9",622.984,0.0504,"G",9
"E.coli EW11","DV565",4,"4-HT","M9sa","Distal",1,"G10",622.984,0.0491,"G",10
"E.coli EW11","DV565",5,"4-HT","M9sa","Distal",1,"G11",622.984,0.055,"G",11
"E.coli EW11","DV565",6,"4-HT","M9sa","Distal",1,"G12",622.984,0.0557,"G",12
"E.coli EW11","pLW003",1,"DMSO","M9sa","NegCtrl",1,"H1",622.984,0.0504,"H",1
"E.coli EW11","pLW003",2,"DMSO","M9sa","NegCtrl",1,"H2",622.984,0.0532,"H",2
"E.coli EW11","pLW003",3,"DMSO","M9sa","NegCtrl",1,"H3",622.984,0.0881,"H",3
"E.coli EW11","pLW003",4,"DMSO","M9sa","NegCtrl",1,"H4",622.984,0.0615,"H",4
"E.coli EW11","pLW003",5,"DMSO","M9sa","NegCtrl",1,"H5",622.984,0.0571,"H",5
"E.coli EW11","pLW003",6,"DMSO","M9sa","NegCtrl",1,"H6",622.984,0.0528,"H",6
"E.coli EW11","pLW003",1,"4-HT","M9sa","NegCtrl",1,"H7",622.984,0.0519,"H",7
"E.coli EW11","pLW003",2,"4-HT","M9sa","NegCtrl",1,"H8",622.984,0.0485,"H",8
"E.coli EW11","pLW003",3,"4-HT","M9sa","NegCtrl",1,"H9",622.984,0.0483,"H",9
"E.coli EW11","pLW003",4,"4-HT","M9sa","NegCtrl",1,"H10",622.984,0.0495,"H",10
"E.coli EW11","pLW003",5,"4-HT","M9sa","NegCtrl",1,"H11",622.984,0.0493,"H",11
"E.coli EW11","pLW003",6,"4-HT","M9sa","NegCtrl",1,"H12",622.984,0.0669,"H",12
"E.coli EW11","pLW002",1,"DMSO","M9sa","PosCtrl",1,"A1",1245.341,0.0546,"A",1
"E.coli EW11","pLW002",2,"DMSO","M9sa","PosCtrl",1,"A2",1245.341,0.0483,"A",2
"E.coli EW11","pLW002",3,"DMSO","M9sa","PosCtrl",1,"A3",1245.341,0.0511,"A",3
"E.coli EW11","pLW002",4,"DMSO","M9sa","PosCtrl",1,"A4",1245.341,0.047,"A",4
"E.coli EW11","pLW002",5,"DMSO","M9sa","PosCtrl",1,"A5",1245.341,0.0485,"A",5
"E.coli EW11","pLW002",6,"DMSO","M9sa","PosCtrl",1,"A6",1245.341,0.0488,"A",6
"E.coli EW11","pLW002",1,"4-HT","M9sa","PosCtrl",1,"A7",1245.341,0.0506,"A",7
"E.coli EW11","pLW002",2,"4-HT","M9sa","PosCtrl",1,"A8",1245.341,0.0482,"A",8
"E.coli EW11","pLW002",3,"4-HT","M9sa","PosCtrl",1,"A9",1245.341,0.0692,"A",9
"E.coli EW11","pLW002",4,"4-HT","M9sa","PosCtrl",1,"A10",1245.341,0.0503,"A",10
"E.coli EW11","pLW002",5,"4-HT","M9sa","PosCtrl",1,"A11",1245.341,0.0496,"A",11
"E.coli EW11","pLW002",6,"4-HT","M9sa","PosCtrl",1,"A12",1245.341,0.0492,"A",12
"E.coli EW11","DV41",1,"DMSO","M9sa","Structural",1,"B1",1245.341,0.0482,"B",1
"E.coli EW11","DV41",2,"DMSO","M9sa","Structural",1,"B2",1245.341,0.0536,"B",2
"E.coli EW11","DV41",3,"DMSO","M9sa","Structural",1,"B3",1245.341,0.055,"B",3
"E.coli EW11","DV41",4,"DMSO","M9sa","Structural",1,"B4",1245.341,0.0492,"B",4
"E.coli EW11","DV41",5,"DMSO","M9sa","Structural",1,"B5",1245.341,0.0493,"B",5
"E.coli EW11","DV41",6,"DMSO","M9sa","Structural",1,"B6",1245.341,0.0464,"B",6
"E.coli EW11","DV41",1,"4-HT","M9sa","Structural",1,"B7",1245.341,0.0477,"B",7
"E.coli EW11","DV41",2,"4-HT","M9sa","Structural",1,"B8",1245.341,0.0494,"B",8
"E.coli EW11","DV41",3,"4-HT","M9sa","Structural",1,"B9",1245.341,0.0496,"B",9
"E.coli EW11","DV41",4,"4-HT","M9sa","Structural",1,"B10",1245.341,0.0512,"B",10
"E.coli EW11","DV41",5,"4-HT","M9sa","Structural",1,"B11",1245.341,0.0495,"B",11
"E.coli EW11","DV41",6,"4-HT","M9sa","Structural",1,"B12",1245.341,0.0486,"B",12
"E.coli EW11","DV130",1,"DMSO","M9sa","Structural",1,"C1",1245.341,0.0502,"C",1
"E.coli EW11","DV130",2,"DMSO","M9sa","Structural",1,"C2",1245.341,0.0556,"C",2
"E.coli EW11","DV130",3,"DMSO","M9sa","Structural",1,"C3",1245.341,0.0533,"C",3
"E.coli EW11","DV130",4,"DMSO","M9sa","Structural",1,"C4",1245.341,0.0491,"C",4
"E.coli EW11","DV130",5,"DMSO","M9sa","Structural",1,"C5",1245.341,0.0501,"C",5
"E.coli EW11","DV130",6,"DMSO","M9sa","Structural",1,"C6",1245.341,0.0471,"C",6
"E.coli EW11","DV130",1,"4-HT","M9sa","Structural",1,"C7",1245.341,0.0482,"C",7
"E.coli EW11","DV130",2,"4-HT","M9sa","Structural",1,"C8",1245.341,0.0491,"C",8
"E.coli EW11","DV130",3,"4-HT","M9sa","Structural",1,"C9",1245.341,0.0513,"C",9
"E.coli EW11","DV130",4,"4-HT","M9sa","Structural",1,"C10",1245.341,0.0497,"C",10
"E.coli EW11","DV130",5,"4-HT","M9sa","Structural",1,"C11",1245.341,0.0508,"C",11
"E.coli EW11","DV130",6,"4-HT","M9sa","Structural",1,"C12",1245.341,0.0467,"C",12
"E.coli EW11","DV264",1,"DMSO","M9sa","Dynamic",1,"D1",1245.341,0.0535,"D",1
"E.coli EW11","DV264",2,"DMSO","M9sa","Dynamic",1,"D2",1245.341,0.0595,"D",2
"E.coli EW11","DV264",3,"DMSO","M9sa","Dynamic",1,"D3",1245.341,0.0595,"D",3
"E.coli EW11","DV264",4,"DMSO","M9sa","Dynamic",1,"D4",1245.341,0.0681,"D",4
"E.coli EW11","DV264",5,"DMSO","M9sa","Dynamic",1,"D5",1245.341,0.0574,"D",5
"E.coli EW11","DV264",6,"DMSO","M9sa","Dynamic",1,"D6",1245.341,0.0575,"D",6
"E.coli EW11","DV264",1,"4-HT","M9sa","Dynamic",1,"D7",1245.341,0.0566,"D",7
"E.coli EW11","DV264",2,"4-HT","M9sa","Dynamic",1,"D8",1245.341,0.054,"D",8
"E.coli EW11","DV264",3,"4-HT","M9sa","Dynamic",1,"D9",1245.341,0.0581,"D",9
"E.coli EW11","DV264",4,"4-HT","M9sa","Dynamic",1,"D10",1245.341,0.0525,"D",10
"E.coli EW11","DV264",5,"4-HT","M9sa","Dynamic",1,"D11",1245.341,0.0539,"D",11
"E.coli EW11","DV264",6,"4-HT","M9sa","Dynamic",1,"D12",1245.341,0.0534,"D",12
"E.coli EW11","DV496",1,"DMSO","M9sa","Dynamic",1,"E1",1245.341,0.1177,"E",1
"E.coli EW11","DV496",2,"DMSO","M9sa","Dynamic",1,"E2",1245.341,0.0598,"E",2
"E.coli EW11","DV496",3,"DMSO","M9sa","Dynamic",1,"E3",1245.341,0.0516,"E",3
"E.coli EW11","DV496",4,"DMSO","M9sa","Dynamic",1,"E4",1245.341,0.0578,"E",4
"E.coli EW11","DV496",5,"DMSO","M9sa","Dynamic",1,"E5",1245.341,0.0646,"E",5
"E.coli EW11","DV496",6,"DMSO","M9sa","Dynamic",1,"E6",1245.341,0.0588,"E",6
"E.coli EW11","DV496",1,"4-HT","M9sa","Dynamic",1,"E7",1245.341,0.0479,"E",7
"E.coli EW11","DV496",2,"4-HT","M9sa","Dynamic",1,"E8",1245.341,0.0515,"E",8
"E.coli EW11","DV496",3,"4-HT","M9sa","Dynamic",1,"E9",1245.341,0.0464,"E",9
"E.coli EW11","DV496",4,"4-HT","M9sa","Dynamic",1,"E10",1245.341,0.0496,"E",10
"E.coli EW11","DV496",5,"4-HT","M9sa","Dynamic",1,"E11",1245.341,0.0485,"E",11
"E.coli EW11","DV496",6,"4-HT","M9sa","Dynamic",1,"E12",1245.341,0.048,"E",12
"E.coli EW11","DV543",1,"DMSO","M9sa","Distal",1,"F1",1245.341,0.056,"F",1
"E.coli EW11","DV543",2,"DMSO","M9sa","Distal",1,"F2",1245.341,0.0635,"F",2
"E.coli EW11","DV543",3,"DMSO","M9sa","Distal",1,"F3",1245.341,0.0675,"F",3
"E.coli EW11","DV543",4,"DMSO","M9sa","Distal",1,"F4",1245.341,0.0663,"F",4
"E.coli EW11","DV543",5,"DMSO","M9sa","Distal",1,"F5",1245.341,0.0603,"F",5
"E.coli EW11","DV543",6,"DMSO","M9sa","Distal",1,"F6",1245.341,0.0747,"F",6
"E.coli EW11","DV543",1,"4-HT","M9sa","Distal",1,"F7",1245.341,0.0497,"F",7
"E.coli EW11","DV543",2,"4-HT","M9sa","Distal",1,"F8",1245.341,0.0507,"F",8
"E.coli EW11","DV543",3,"4-HT","M9sa","Distal",1,"F9",1245.341,0.05,"F",9
"E.coli EW11","DV543",4,"4-HT","M9sa","Distal",1,"F10",1245.341,0.0535,"F",10
"E.coli EW11","DV543",5,"4-HT","M9sa","Distal",1,"F11",1245.341,0.0507,"F",11
"E.coli EW11","DV543",6,"4-HT","M9sa","Distal",1,"F12",1245.341,0.051,"F",12
"E.coli EW11","DV565",1,"DMSO","M9sa","Distal",1,"G1",1245.341,0.0532,"G",1
"E.coli EW11","DV565",2,"DMSO","M9sa","Distal",1,"G2",1245.341,0.0615,"G",2
"E.coli EW11","DV565",3,"DMSO","M9sa","Distal",1,"G3",1245.341,0.0587,"G",3
"E.coli EW11","DV565",4,"DMSO","M9sa","Distal",1,"G4",1245.341,0.0744,"G",4
"E.coli EW11","DV565",5,"DMSO","M9sa","Distal",1,"G5",1245.341,0.0653,"G",5
"E.coli EW11","DV565",6,"DMSO","M9sa","Distal",1,"G6",1245.341,0.0614,"G",6
"E.coli EW11","DV565",1,"4-HT","M9sa","Distal",1,"G7",1245.341,0.0519,"G",7
"E.coli EW11","DV565",2,"4-HT","M9sa","Distal",1,"G8",1245.341,0.0498,"G",8
"E.coli EW11","DV565",3,"4-HT","M9sa","Distal",1,"G9",1245.341,0.0522,"G",9
