Lid lifter,,,,Lid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humidity Cassette,,,,Humidity cassette - Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smooth mode,,,,Not selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Absorbance,,,,OD600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,,,,NUN96ft_EdgePlate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate area,,,,A2-C11;F2-H11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,,,,2025-07-10 14:23:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature control,,,,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target temperature [°C],,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wait minimum [°C],,,,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wait maximum [°C],,,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Time,,,,2025-07-10 14:37:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode,Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinetic duration [hhmmss],,,,20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval time,,,,Not defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaking (Orbital) Duration [s],,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaking (Orbital) Position,,,,Current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaking (Orbital) Amplitude [mm],,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaking (Orbital) Frequency [rpm],,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode,Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,OD600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement wavelength [nm],,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of flashes,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settle time [ms],,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part of Plate,,,,A2-C11;F2-H11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,,,,2025-07-10 14:37:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OD600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
Time [s],0,569.515,1142.382,1715.219,2288.043,2860.812,3433.628,4006.499,4579.341,5152.13,5725.001,6297.898,6870.731,7443.549,8016.381,8589.157,9161.986,9734.766,10307.499,10880.381,11453.233,12026.146,12598.915,13171.727,13744.532,14317.306,14890.113,15462.961,16035.761,16608.591,17181.462,17754.264,18327.075,18899.875,19472.643,20045.388,20618.275,21191.127,21763.893,22336.733,22909.559,23482.451,24055.222,24628.078,25200.947,25773.721,26346.54,26919.357,27492.136,28064.982,28637.816,29210.674,29783.523,30356.358,30929.088,31501.85,32074.759,32647.592,33220.382,33793.249,34366.063,34938.921,35511.676,36084.484,36657.299,37230.075,37802.883,38375.718,38948.507,39521.317,40094.144,40667.034,41239.855,41812.666,42385.458,42958.185,43531.012,44103.835,44676.606,45249.482,45822.314,46395.118,46967.969,47540.797,48113.608,48686.353,49259.189,49832.019,50404.774,50977.593,51550.418,52123.209,52696.034,53268.885,53841.712,54414.512,54987.328,55560.153,56132.981,56705.866,57278.712,57851.453,58424.32,58997.155,59569.91,60142.758,60715.571,61288.37,61861.151,62433.972,63006.798,63579.531,64152.352,64725.166,65297.862,65870.666,66443.499,67016.275,67589.101,68161.911,68734.777,69307.596,69880.497,70453.381,71026.154,71599.062
Temp. [°C],37,37,37,37.1,37.1,37,37.1,37,37,37.1,37,37,37,37,37,37.1,37,37,37.1,37.1,37.1,37,37,37,37,37,37.1,37,37,37,37,37,37.1,37,37.1,37,37,37.1,37,37.1,37,37,37,37.1,37,37,37,37,37.1,37,37,37,37,37,37.1,37.1,36.9,37,37,37.1,37,37,37,37,37,37.1,37,37,37,37,37.1,37.1,37,37,37,37,37.1,37.1,37,37,37,37.1,37,37,37,37,37,37.1,37,37,37,37,37,37,37,37,37,37,37.1,37,37,37,37.1,37.1,37,37,37,37,37,37.1,37.1,37,37,37,37,37,37,37,37,37,37.1,37.1,37,37,37,37
A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,0.1595,0.1652,0.1721,0.18,0.1917,0.201,0.2131,0.2384,0.2536,0.2748,0.292,0.3301,0.3451,0.3909,0.4273,0.4713,0.5213,0.5744,0.6221,0.6601,0.6893,0.7278,0.7707,0.8203,0.8722,0.9148,0.9543,0.9941,1.0348,1.0733,1.1149,1.1439,1.1603,1.1755,1.2021,1.2388,1.2693,1.3111,1.3234,1.3401,1.3657,1.3892,1.3827,1.4194,1.4309,1.4254,1.4208,1.4095,1.4567,1.441,1.4388,1.4481,1.4473,1.4302,1.4205,1.4243,1.4284,1.419,1.4304,1.4214,1.4272,1.4344,1.4235,1.4459,1.446,1.4525,1.4533,1.4647,1.483,1.4712,1.4603,1.4834,1.4896,1.5025,1.5032,1.5054,1.5128,1.4967,1.4883,1.4725,1.4699,1.4933,1.3808,1.4424,1.4332,1.3834,1.3602,1.3418,1.3587,1.3828,1.2998,1.3343,1.4232,1.3229,1.2851,1.337,1.3128,1.3913,1.3799,1.3799,1.3768,1.3357,1.3851,1.3545,1.3061,1.3614,1.423,1.3808,1.4242,1.4029,1.395,1.4037,1.4036,1.4,1.4137,1.3915,1.4055,1.407,1.3977,1.3966,1.3325,1.359,1.3696,1.3606,1.3672,1.375
A3,0.2317,0.2507,0.2734,0.2995,0.3353,0.3659,0.4042,0.4389,0.4809,0.5336,0.5855,0.6306,0.6854,0.7244,0.7643,0.792,0.8383,0.8809,0.9234,0.9712,1.0217,1.0661,1.1028,1.1416,1.1763,1.1956,1.2085,1.2218,1.2519,1.282,1.3099,1.3313,1.3508,1.409,1.4191,1.4162,1.4493,1.4382,1.4221,1.4438,1.4461,1.4722,1.4759,1.4658,1.4505,1.4835,1.4637,1.4798,1.4831,1.4774,1.4813,1.4979,1.5083,1.52,1.5283,1.5346,1.544,1.5486,1.5472,1.5498,1.5425,1.5541,1.5395,1.539,1.5239,1.522,1.5033,1.4904,1.4712,1.4687,1.4725,1.4463,1.4349,1.4367,1.4417,1.4282,1.4258,1.4266,1.4234,1.4217,1.4195,1.4186,1.4179,1.4185,1.4133,1.4132,1.4106,1.4075,1.4049,1.4028,1.4001,1.3935,1.391,1.3913,1.391,1.3866,1.3855,1.3835,1.3807,1.3799,1.3779,1.3749,1.3744,1.373,1.3701,1.3692,1.3678,1.366,1.3664,1.3658,1.3652,1.369,1.3655,1.3628,1.3603,1.3578,1.35,1.3475,1.343,1.3408,1.3382,1.3364,1.3329,1.328,1.3227,1.3237
A4,0.1455,0.152,0.1571,0.1636,0.1662,0.1724,0.1799,0.1879,0.1972,0.2076,0.2186,0.2317,0.2459,0.2579,0.2696,0.2869,0.308,0.3274,0.3462,0.3681,0.3873,0.4108,0.4356,0.4617,0.4872,0.51,0.533,0.5584,0.5879,0.6151,0.6409,0.6692,0.7046,0.7353,0.7629,0.7874,0.8172,0.8539,0.885,0.9184,0.9524,0.9855,1.0111,1.0385,1.0619,1.091,1.1063,1.1219,1.1372,1.1478,1.1615,1.1765,1.2043,1.2208,1.2323,1.2343,1.2336,1.2414,1.2497,1.2626,1.2737,1.2806,1.2966,1.2943,1.3012,1.3093,1.3136,1.3235,1.3304,1.3467,1.3331,1.3274,1.3265,1.3186,1.3153,1.3102,1.3037,1.3024,1.3017,1.3009,1.3003,1.2985,1.2932,1.285,1.2855,1.2754,1.2693,1.2609,1.2551,1.2465,1.2334,1.2268,1.2189,1.2113,1.2045,1.2,1.1968,1.1996,1.1944,1.1944,1.193,1.1899,1.1861,1.1833,1.1766,1.1792,1.1806,1.1856,1.1858,1.1864,1.1932,1.1958,1.1977,1.2002,1.2026,1.2079,1.2103,1.2102,1.1988,1.1933,1.1949,1.1931,1.1861,1.1821,1.1818,1.1766
A5,0.1809,0.1935,0.2116,0.234,0.2577,0.2845,0.3131,0.3428,0.372,0.4076,0.4433,0.4876,0.5327,0.5823,0.6353,0.6911,0.7497,0.8065,0.8511,0.8882,0.9275,0.9691,1.021,1.0691,1.1207,1.1599,1.2,1.2448,1.2852,1.3198,1.3598,1.3853,1.413,1.4272,1.451,1.4779,1.4956,1.5138,1.532,1.5541,1.568,1.59,1.599,1.6136,1.6257,1.6346,1.6425,1.6489,1.6589,1.6614,1.6629,1.6659,1.6711,1.6757,1.6796,1.6818,1.6874,1.6846,1.6866,1.6855,1.6832,1.6809,1.6789,1.6773,1.6735,1.6721,1.6693,1.6643,1.6632,1.6624,1.6615,1.6609,1.664,1.6698,1.6776,1.6788,1.6822,1.6823,1.6873,1.6881,1.6905,1.6937,1.6983,1.6975,1.7003,1.698,1.6971,1.695,1.6993,1.706,1.7083,1.7117,1.7137,1.711,1.7146,1.7151,1.7137,1.7201,1.7209,1.7212,1.7202,1.7136,1.7059,1.6986,1.6822,1.6749,1.6603,1.6479,1.6373,1.6277,1.6196,1.6096,1.6032,1.5997,1.5946,1.5908,1.5849,1.5816,1.5802,1.5776,1.5745,1.5748,1.5646,1.5647,1.5599,1.5593
A6,0.3698,0.4032,0.4345,0.468,0.4968,0.5294,0.5625,0.5978,0.6345,0.671,0.7071,0.7469,0.7894,0.8253,0.8732,0.9082,0.9477,0.969,0.9978,1.0271,1.0601,1.0956,1.1262,1.1597,1.1931,1.2251,1.2654,1.3075,1.3611,1.3901,1.423,1.4614,1.483,1.5032,1.5276,1.5432,1.559,1.5637,1.5831,1.59,1.6029,1.6072,1.6193,1.6253,1.6373,1.6351,1.646,1.6511,1.6587,1.6662,1.6721,1.6824,1.6796,1.6861,1.691,1.698,1.7033,1.7063,1.7157,1.719,1.7237,1.7263,1.7306,1.7339,1.7353,1.7365,1.7432,1.7456,1.7492,1.7527,1.7541,1.7577,1.7577,1.7572,1.7568,1.753,1.7529,1.7511,1.7463,1.7461,1.7423,1.7382,1.7316,1.7285,1.7296,1.724,1.7226,1.7195,1.7197,1.7278,1.7291,1.728,1.7214,1.702,1.7005,1.6956,1.6891,1.6834,1.682,1.6748,1.6766,1.6721,1.6715,1.6696,1.6652,1.6695,1.6617,1.6607,1.6504,1.6558,1.655,1.6512,1.6457,1.6435,1.6465,1.6457,1.6381,1.6364,1.6348,1.6378,1.6365,1.6336,1.6327,1.6339,1.6286,1.6328
A7,0.3556,0.6064,0.6328,0.6888,0.7301,0.7869,0.8816,0.953,1.0173,1.0714,1.1287,1.1655,1.1746,1.1816,1.2033,1.2287,1.2599,1.2914,1.3179,1.3433,1.3671,1.3936,1.4192,1.445,1.476,1.4955,1.5125,1.5297,1.5371,1.543,1.5475,1.5496,1.5544,1.5573,1.563,1.5689,1.5745,1.5824,1.589,1.5959,1.6019,1.6066,1.6143,1.6166,1.6194,1.6208,1.6212,1.6211,1.6207,1.6228,1.624,1.6247,1.6264,1.6265,1.6275,1.6272,1.627,1.631,1.6331,1.6348,1.6362,1.634,1.6291,1.6312,1.6291,1.6257,1.6252,1.6236,1.6233,1.6199,1.6131,1.6113,1.6064,1.6033,1.5996,1.5963,1.5936,1.5904,1.5788,1.5758,1.573,1.5715,1.5689,1.5673,1.5649,1.5615,1.5628,1.5628,1.5599,1.5593,1.558,1.5554,1.5538,1.5524,1.5535,1.5517,1.5498,1.5468,1.5481,1.5469,1.545,1.5419,1.5412,1.541,1.5389,1.5386,1.5379,1.5375,1.5359,1.5345,1.535,1.5335,1.5319,1.5317,1.5318,1.5311,1.5302,1.5297,1.5277,1.5278,1.5261,1.5259,1.5249,1.5255,1.524,1.5224
A8,0.4922,0.533,0.5576,0.6017,0.6468,0.6932,0.7544,0.8137,0.8593,0.9051,0.9587,0.9963,1.0197,1.0497,1.0786,1.1093,1.1445,1.1753,1.214,1.2494,1.2981,1.3447,1.3764,1.4163,1.4594,1.4915,1.5106,1.533,1.5482,1.5576,1.5625,1.5669,1.5737,1.5797,1.5861,1.5894,1.5972,1.6023,1.6099,1.6199,1.6242,1.6284,1.6313,1.6333,1.6346,1.6336,1.6356,1.6339,1.6363,1.6378,1.6347,1.6366,1.6349,1.6367,1.6437,1.6483,1.6461,1.6466,1.6486,1.6424,1.6375,1.6334,1.6277,1.6232,1.617,1.6136,1.6107,1.6058,1.6041,1.6012,1.5973,1.5956,1.5906,1.5876,1.5856,1.5835,1.5842,1.5825,1.5822,1.5844,1.5821,1.5796,1.58,1.576,1.5691,1.569,1.5628,1.564,1.5612,1.5613,1.5606,1.5582,1.5576,1.5561,1.556,1.5536,1.5545,1.55,1.55,1.5488,1.5495,1.5461,1.5466,1.5441,1.5439,1.5432,1.5425,1.5427,1.54,1.5418,1.5406,1.5372,1.5378,1.5373,1.5354,1.5337,1.5325,1.5337,1.5318,1.5299,1.5301,1.5282,1.5285,1.5304,1.5279,1.5272
A9,0.1823,0.2033,0.2282,0.2539,0.2854,0.3259,0.3747,0.4232,0.4765,0.5294,0.5774,0.6251,0.672,0.7194,0.7528,0.7872,0.8264,0.8651,0.9059,0.9507,0.9891,1.0287,1.0803,1.1283,1.169,1.1989,1.2342,1.2651,1.2919,1.3048,1.314,1.3173,1.321,1.3299,1.3365,1.3428,1.3496,1.3552,1.3587,1.3706,1.3783,1.3862,1.3915,1.3962,1.4024,1.4049,1.4078,1.4092,1.4086,1.4036,1.3956,1.3932,1.3883,1.3822,1.3724,1.3616,1.3524,1.3412,1.3263,1.3178,1.3146,1.3117,1.3113,1.3136,1.3148,1.316,1.318,1.3227,1.324,1.3235,1.329,1.3459,1.3467,1.3551,1.3579,1.3589,1.3545,1.3628,1.3635,1.3695,1.373,1.3723,1.3727,1.3665,1.3632,1.3479,1.3412,1.3382,1.3268,1.3201,1.3147,1.3112,1.3063,1.3011,1.3,1.2948,1.2924,1.2893,1.2859,1.2774,1.2755,1.2693,1.2669,1.2657,1.2458,1.2449,1.2403,1.2394,1.2366,1.2612,1.2563,1.2521,1.2481,1.2475,1.2385,1.2355,1.2331,1.2308,1.2236,1.2211,1.2203,1.2186,1.2149,1.2153,1.2109,1.2082
